手動入力	API 自動取得			URL自動計算	手動入力				
YouTubeリンク	動画タイトル	投稿日	サムネイルURL	再生位置	タイプ	曲名	原曲歌唱	作詞・作曲他	タグ（カンマ区切り）
https://www.youtube.com/watch?v=Nq1LOpAb1Vo&t=2690	【雑談】あさごはんたべた？？【メリッサ・キンレンカ/にじさんじ】	2020-03-06T03:18:29Z	https://i.ytimg.com/vi/Nq1LOpAb1Vo/default.jpg		配信	さよならの向う側	山口百恵	作詞：阿木燿子、作曲：宇崎竜童	アカペラ
https://www.youtube.com/watch?v=Nq1LOpAb1Vo&t=3402	【雑談】あさごはんたべた？？【メリッサ・キンレンカ/にじさんじ】	2020-03-06T03:18:29Z	https://i.ytimg.com/vi/Nq1LOpAb1Vo/default.jpg		配信	First Love	宇多田ヒカル	作詞・作曲：宇多田ヒカル、編曲：河野圭	アカペラ
https://www.youtube.com/watch?v=Nq1LOpAb1Vo&t=5070	【雑談】あさごはんたべた？？【メリッサ・キンレンカ/にじさんじ】	2020-03-06T03:18:29Z	https://i.ytimg.com/vi/Nq1LOpAb1Vo/default.jpg		配信	名前のない怪物	EGOIST	作詞・作曲：ryo(supercell)	アカペラ
https://www.youtube.com/watch?v=Nq1LOpAb1Vo&t=5573	【雑談】あさごはんたべた？？【メリッサ・キンレンカ/にじさんじ】	2020-03-06T03:18:29Z	https://i.ytimg.com/vi/Nq1LOpAb1Vo/default.jpg		配信	All Alone With You	EGOIST	作詞・作曲：ryo(supercell)	アカペラ
https://www.youtube.com/watch?v=Nq1LOpAb1Vo&t=5955	【雑談】あさごはんたべた？？【メリッサ・キンレンカ/にじさんじ】	2020-03-06T03:18:29Z	https://i.ytimg.com/vi/Nq1LOpAb1Vo/default.jpg		配信	恋愛サーキュレーション	千石撫子(花澤香菜)	作詞：meg rock、作曲：神前暁	アカペラ
https://www.youtube.com/watch?v=WvLrH0lyJ_E&t=884	【記念】五万人ありがとう！！【メリッサ・キンレンカ/にじさんじ】	2020-03-09T13:29:41Z	https://i.ytimg.com/vi/WvLrH0lyJ_E/default.jpg		配信	風になる	つじあやの	作詞・作曲：つじあやの	
https://www.youtube.com/watch?v=WvLrH0lyJ_E&t=1409	【記念】五万人ありがとう！！【メリッサ・キンレンカ/にじさんじ】	2020-03-09T13:29:41Z	https://i.ytimg.com/vi/WvLrH0lyJ_E/default.jpg		配信	secret base ～君がくれたもの～	ZONE	作詞・作曲：町田紀彦	
https://www.youtube.com/watch?v=WvLrH0lyJ_E&t=1766	【記念】五万人ありがとう！！【メリッサ・キンレンカ/にじさんじ】	2020-03-09T13:29:41Z	https://i.ytimg.com/vi/WvLrH0lyJ_E/default.jpg		配信	瞳をとじて	平井堅	作詞・作曲：平井堅	
https://www.youtube.com/watch?v=WvLrH0lyJ_E&t=2193	【記念】五万人ありがとう！！【メリッサ・キンレンカ/にじさんじ】	2020-03-09T13:29:41Z	https://i.ytimg.com/vi/WvLrH0lyJ_E/default.jpg		配信	若者のすべて	フジファブリック	作詞・作曲：志村正彦	
https://www.youtube.com/watch?v=WvLrH0lyJ_E&t=2450	【記念】五万人ありがとう！！【メリッサ・キンレンカ/にじさんじ】	2020-03-09T13:29:41Z	https://i.ytimg.com/vi/WvLrH0lyJ_E/default.jpg		配信	硝子の少年	KinKi Kids	作詞：松本隆、作曲：山下達郎	
https://www.youtube.com/watch?v=WvLrH0lyJ_E&t=2709	【記念】五万人ありがとう！！【メリッサ・キンレンカ/にじさんじ】	2020-03-09T13:29:41Z	https://i.ytimg.com/vi/WvLrH0lyJ_E/default.jpg		配信	月光	鬼束ちひろ	作詞・作曲：鬼束ちひろ	
https://www.youtube.com/watch?v=WvLrH0lyJ_E&t=3082	【記念】五万人ありがとう！！【メリッサ・キンレンカ/にじさんじ】	2020-03-09T13:29:41Z	https://i.ytimg.com/vi/WvLrH0lyJ_E/default.jpg		配信	カタオモイ	Aimer	作詞・作曲：内澤崇仁	
https://www.youtube.com/watch?v=WvLrH0lyJ_E&t=3432	【記念】五万人ありがとう！！【メリッサ・キンレンカ/にじさんじ】	2020-03-09T13:29:41Z	https://i.ytimg.com/vi/WvLrH0lyJ_E/default.jpg		配信	テルーの唄	手嶌葵	作詞：宮崎吾朗、作曲：谷山浩子	アカペラ
https://www.youtube.com/watch?v=YGgvEKl_fQ4&t=77	【#にじさんじ歌リレー】一緒に繋ぐ【メリッサ・キンレンカ/にじさんじ】	2020-04-11T07:35:01Z	https://i.ytimg.com/vi/YGgvEKl_fQ4/default.jpg		歌枠	Tell Me Baby	Official髭男dism	作詞・作曲：藤原聡	
